Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (15014112),James Harden,15014112,CPT,19200,LAL@HOU 08/06/2020 09:00PM ET,HOU,59.34
PG/SF,LeBron James (15014113),LeBron James,15014113,CPT,18600,LAL@HOU 08/06/2020 09:00PM ET,LAL,55.09
PF/C,Anthony Davis (15014114),Anthony Davis,15014114,CPT,17400,LAL@HOU 08/06/2020 09:00PM ET,LAL,50.72
PG,Russell Westbrook (15014115),Russell Westbrook,15014115,CPT,15600,LAL@HOU 08/06/2020 09:00PM ET,HOU,51.19
SF/PF,Robert Covington (15014116),Robert Covington,15014116,CPT,13500,LAL@HOU 08/06/2020 09:00PM ET,HOU,29.06
PG/SG,James Harden (15014076),James Harden,15014076,UTIL,12800,LAL@HOU 08/06/2020 09:00PM ET,HOU,59.34
PG/SF,LeBron James (15014077),LeBron James,15014077,UTIL,12400,LAL@HOU 08/06/2020 09:00PM ET,LAL,55.09
SF/PF,Danuel House Jr. (15014117),Danuel House Jr.,15014117,CPT,12300,LAL@HOU 08/06/2020 09:00PM ET,HOU,21.86
PF/C,Anthony Davis (15014078),Anthony Davis,15014078,UTIL,11600,LAL@HOU 08/06/2020 09:00PM ET,LAL,50.72
SF/PF,Kyle Kuzma (15014118),Kyle Kuzma,15014118,CPT,11100,LAL@HOU 08/06/2020 09:00PM ET,LAL,21.44
C,P.J. Tucker (15014119),P.J. Tucker,15014119,CPT,10500,LAL@HOU 08/06/2020 09:00PM ET,HOU,21.65
PG,Russell Westbrook (15014079),Russell Westbrook,15014079,UTIL,10400,LAL@HOU 08/06/2020 09:00PM ET,HOU,51.19
C,Jeff Green (15014120),Jeff Green,15014120,CPT,9900,LAL@HOU 08/06/2020 09:00PM ET,HOU,15.64
SF/PF,Robert Covington (15014080),Robert Covington,15014080,UTIL,9000,LAL@HOU 08/06/2020 09:00PM ET,HOU,29.06
SG/SF,Kentavious Caldwell-Pope (15014121),Kentavious Caldwell-Pope,15014121,CPT,9000,LAL@HOU 08/06/2020 09:00PM ET,LAL,16.70
SF/PF,Danuel House Jr. (15014081),Danuel House Jr.,15014081,UTIL,8200,LAL@HOU 08/06/2020 09:00PM ET,HOU,21.86
SG/SF,Dion Waiters (15014122),Dion Waiters,15014122,CPT,7800,LAL@HOU 08/06/2020 09:00PM ET,LAL,18.75
SF/PF,Kyle Kuzma (15014082),Kyle Kuzma,15014082,UTIL,7400,LAL@HOU 08/06/2020 09:00PM ET,LAL,21.44
C,P.J. Tucker (15014083),P.J. Tucker,15014083,UTIL,7000,LAL@HOU 08/06/2020 09:00PM ET,HOU,21.65
SG/SF,Eric Gordon (15014123),Eric Gordon,15014123,CPT,6900,LAL@HOU 08/06/2020 09:00PM ET,HOU,22.04
C,Jeff Green (15014084),Jeff Green,15014084,UTIL,6600,LAL@HOU 08/06/2020 09:00PM ET,HOU,15.64
PG/SG,Alex Caruso (15014124),Alex Caruso,15014124,CPT,6600,LAL@HOU 08/06/2020 09:00PM ET,LAL,13.37
SG/SF,Kentavious Caldwell-Pope (15014085),Kentavious Caldwell-Pope,15014085,UTIL,6000,LAL@HOU 08/06/2020 09:00PM ET,LAL,16.70
SG/SF,Dion Waiters (15014086),Dion Waiters,15014086,UTIL,5200,LAL@HOU 08/06/2020 09:00PM ET,LAL,18.75
C,JaVale McGee (15014125),JaVale McGee,15014125,CPT,4800,LAL@HOU 08/06/2020 09:00PM ET,LAL,18.16
SG/SF,Eric Gordon (15014087),Eric Gordon,15014087,UTIL,4600,LAL@HOU 08/06/2020 09:00PM ET,HOU,22.04
PG/SG,Alex Caruso (15014088),Alex Caruso,15014088,UTIL,4400,LAL@HOU 08/06/2020 09:00PM ET,LAL,13.37
C,Dwight Howard (15014126),Dwight Howard,15014126,CPT,3600,LAL@HOU 08/06/2020 09:00PM ET,LAL,20.42
SG/SF,Danny Green (15014127),Danny Green,15014127,CPT,3300,LAL@HOU 08/06/2020 09:00PM ET,LAL,18.13
C,JaVale McGee (15014089),JaVale McGee,15014089,UTIL,3200,LAL@HOU 08/06/2020 09:00PM ET,LAL,18.16
SG/SF,Ben McLemore (15014128),Ben McLemore,15014128,CPT,3000,LAL@HOU 08/06/2020 09:00PM ET,HOU,16.36
PF/C,Markieff Morris (15014129),Markieff Morris,15014129,CPT,2700,LAL@HOU 08/06/2020 09:00PM ET,LAL,18.22
C,Dwight Howard (15014090),Dwight Howard,15014090,UTIL,2400,LAL@HOU 08/06/2020 09:00PM ET,LAL,20.42
PF/C,DeMarre Carroll (15014130),DeMarre Carroll,15014130,CPT,2400,LAL@HOU 08/06/2020 09:00PM ET,HOU,8.11
SG/SF,Danny Green (15014091),Danny Green,15014091,UTIL,2200,LAL@HOU 08/06/2020 09:00PM ET,LAL,18.13
PG/SG,Austin Rivers (15014131),Austin Rivers,15014131,CPT,2100,LAL@HOU 08/06/2020 09:00PM ET,HOU,15.79
SG/SF,Ben McLemore (15014092),Ben McLemore,15014092,UTIL,2000,LAL@HOU 08/06/2020 09:00PM ET,HOU,16.36
PF/C,Markieff Morris (15014093),Markieff Morris,15014093,UTIL,1800,LAL@HOU 08/06/2020 09:00PM ET,LAL,18.22
SG/SF,J.R. Smith (15014132),J.R. Smith,15014132,CPT,1800,LAL@HOU 08/06/2020 09:00PM ET,LAL,1.88
PF/C,DeMarre Carroll (15014094),DeMarre Carroll,15014094,UTIL,1600,LAL@HOU 08/06/2020 09:00PM ET,HOU,8.11
PF/C,Bruno Caboclo (15014133),Bruno Caboclo,15014133,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,HOU,7.82
SG,David Nwaba (15014134),David Nwaba,15014134,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,HOU,11.01
PG,Chris Clemons (15014135),Chris Clemons,15014135,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,HOU,8.03
PG/SG,Michael Frazier (15014136),Michael Frazier,15014136,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,HOU,2.91
SF/PF,Jared Dudley (15014137),Jared Dudley,15014137,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,LAL,4.20
PF,Devontae Cacok (15014138),Devontae Cacok,15014138,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,LAL,0
PG,Avery Bradley (15014139),Avery Bradley,15014139,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,LAL,15.62
PG,Rajon Rondo (15014140),Rajon Rondo,15014140,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,LAL,19.62
C,Tyson Chandler (15014141),Tyson Chandler,15014141,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,HOU,5.75
SG,Talen Horton-Tucker (15014142),Talen Horton-Tucker,15014142,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,LAL,2.5
PF,Kostas Antetokounmpo (15014143),Kostas Antetokounmpo,15014143,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,LAL,0.69
SF,William Howard (15014144),William Howard,15014144,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,HOU,1.75
PF/C,Luc Richard Mbah a Moute (15014145),Luc Richard Mbah a Moute,15014145,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,HOU,0
PF,Thabo Sefolosha (15014146),Thabo Sefolosha,15014146,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,HOU,7.75
PG,Quinn Cook (15014147),Quinn Cook,15014147,CPT,1500,LAL@HOU 08/06/2020 09:00PM ET,LAL,7.93
PG/SG,Austin Rivers (15014095),Austin Rivers,15014095,UTIL,1400,LAL@HOU 08/06/2020 09:00PM ET,HOU,15.79
SG/SF,J.R. Smith (15014096),J.R. Smith,15014096,UTIL,1200,LAL@HOU 08/06/2020 09:00PM ET,LAL,1.88
