Fertilizer,Water,Weight
1,low,975.3
1,low,823.0
1,low,920.4
1,low,843.3
1,low,988.0
1,low,1021.7
1,low,973.3
1,low,857.5
1,low,1059.5
1,low,1121.3
1,low,1060.0
1,low,1111.2
1,low,972.4
1,low,1050.4
1,low,1027.3
1,low,1086.2
1,low,1052.0
1,low,985.1
1,low,1054.7
1,low,1025.3
1,high,945.0
1,high,1171.6
1,high,955.0
1,high,963.8
1,high,1095.2
1,high,919.2
1,high,735.4
1,high,964.2
1,high,1068.6
1,high,1077.5
1,high,913.7
1,high,1133.2
1,high,923.7
1,high,911.1
1,high,1095.1
1,high,990.5
1,high,907.3
1,high,1011.8
1,high,964.1
1,high,1127.0
2,low,948.3
2,low,1003.0
2,low,1005.5
2,low,109.4
2,low,955.2
2,low,1031.7
2,low,1085.7
2,low,1168.0
2,low,1056.7
2,low,1051.5
2,low,1056.9
2,low,1038.6
2,low,980.9
2,low,1002.6
2,low,913.1
2,low,842.5
2,low,966.4
2,low,1034.0
2,low,987.4
2,low,936.5
2,high,1223.7
2,high,947.0
2,high,1166.8
2,high,965.2
2,high,1134.1
2,high,1046.8
2,high,1087.4
2,high,1117.1
2,high,974.4
2,high,1182.4
2,high,1043.7
2,high,1019.2
2,high,1015.3
2,high,1051.0
2,high,1101.8
2,high,1056.3
2,high,869.2
2,high,1155.7
2,high,1001.2
2,high,1054.1
3,low,1057.6
3,low,980.3
3,low,1062.4
3,low,1002.7
3,low,879.0
3,low,1114.9
3,low,823.2
3,low,947.9
3,low,1055.2
3,low,1099.5
3,low,938.1
3,low,822.9
3,low,762.7
3,low,943.7
3,low,978.9
3,low,980.0
3,low,928.6
3,low,856.3
3,low,1023.4
3,low,1010.7
3,high,1167.8
3,high,913.5
3,high,1107.4
3,high,1155.8
3,high,953.8
3,high,1139.5
3,high,886.9
3,high,927.6
3,high,1020.9
3,high,790.9
3,high,842.5
3,high,976.5
3,high,979.7
3,high,895.1
3,high,942.2
3,high,1000.7
3,high,1008.9
3,high,1028.9
3,high,969.5
3,high,823.5
