Run,1,2,3,4
1,0.0167,0.0128,0.0149,0.0185
2,0.0062,0.0066,0.0044,0.002
3,0.0041,0.0043,0.0042,0.005
4,0.0073,0.0081,0.0039,0.003
5,0.0047,0.0047,0.004,0.0089
6,0.0219,0.0258,0.0147,0.0296
7,0.0121,0.009,0.0092,0.0086
8,0.0255,0.025,0.0226,0.0169
9,0.0032,0.0023,0.0077,0.0069
10,0.0078,0.0158,0.006,0.0045
11,0.0043,0.0027,0.0028,0.0028
12,0.0186,0.0137,0.0158,0.0159
13,0.011,0.0086,0.0101,0.0158
14,0.0065,0.0109,0.0126,0.0071
15,0.0155,0.0158,0.0145,0.0145
16,0.0093,0.0124,0.011,0.0133
