OrderNumber,SKU,QtyShipped,ProductType,PiecesPerCarton
6207689,698147,2,Shirts,30
6220209,698083,50,Shirts,30
6220211,698083,125,Shirts,30
6221934,492932S,50,Shirts,30
6223395,825462,21,Shirts,30
6223398,825462,21,Shirts,30
6229714,696539,12,Shirts,30
6231224,495868,1,Slacks,40
6231224,691569,1,Slacks,40
6231224,692584,1,Shirts,30
6231224,699644,1,Shirts,30
6231224,190634GS,2,Shirts,30
6232109,491657S,35,Shirts,30
6233781,394019S,7,Shirts,30
6238490,391086S,1,Shirts,30
6238490,694953,1,Shirts,30
6238803,5042D,600,Shirts,30
6239370,272235S,1,Shirts,30
6239370,491588S,5,Shirts,30
6239370,498260,1,Shirts,30
6239370,698183,2,Shirts,30
6239415,270093,1,Shirts,30
6239415,270344S,5,Shirts,30
6239415,270528S,1,Shirts,30
6239415,281434S,2,Shirts,30
6239415,393957S,1,Shirts,30
6239415,4157,1,Shirts,30
6239415,495770,5,Shirts,30
6239415,498261,4,Shirts,30
6239415,690877,2,Shirts,30
6239415,692311,1,Shirts,30
6239415,695166,2,Shirts,30
6239415,699392,1,Shirts,30
6239415,791128,1,Shirts,30
6239415,104,4,Shirts,30
6239415,322,8,Shirts,30
6239415,855,8,Shirts,30
6239415,134149,1,Neckwear,60
6239415,530016032,1,Shirts,30
6239415,530016281,1,Shirts,30
6239415,530037415,1,Shirts,30
6239415,530095613,1,Shirts,30
6239415,952711548,1,Shirts,30
6239415,952711566,1,Shirts,30
6239415,43827MA,1,Shirts,30
6239584,270344S,5,Shirts,30
6239584,272199S,5,Shirts,30
6239584,272653S,10,Shirts,30
6239584,27918,1,Shirts,30
6239584,399671,2,Shirts,30
6239584,4129,1,Shirts,30
6239584,690877,5,Shirts,30
6239584,690971,2,Shirts,30
6239584,693997,2,Shirts,30
6239584,792040,1,Shirts,30
6239584,9X4MA,1,Shirts,30
6240204,121332-0036,1,Slacks,40
6240204,202432-0063,1,Slacks,40
6240204,29861,1,Shirts,30
6240204,398811,1,Shirts,30
6240204,4101,2,Shirts,30
6240204,4194,2,Shirts,30
6240204,691986,1,Shirts,30
6240204,696541,2,Shirts,30
6240204,300680MA,1,Outerwear,8
6240204,301503MA,1,Neckwear,60
6240204,776060MA,1,Shirts,30
6240204,94068MA,2,Shirts,30
6240204,94137MA,1,Shirts,30
6240204,9X51MA,2,Shirts,30
6240486,19165,1,Jewelry,250
6240486,19200,1,Shirts,30
6240486,19368,1,Shirts,30
6240486,397358,1,Shirts,30
6240486,5018D,1,Shirts,30
6240486,5049D,1,Shirts,30
6240486,5052D,1,Shirts,30
6240486,5068B,1,Shirts,30
6240486,5083D,1,Shirts,30
6240486,5086D,1,Shirts,30
6240486,5098D,1,Shirts,30
6240486,691284,1,Shirts,30
6240486,792455,1,Shirts,30
6240486,110485X,3,Shirts,30
6240486,129895,2,Shirts,30
6240486,174357,1,Shirts,30
6240486,174493,2,Shirts,30
6240524,490754,1,Shirts,30
6240524,492360,5,Shirts,30
6240524,495104,2,Shirts,30
6240524,499521,6,Shirts,30
6240524,693713,15,Shirts,30
6240820,262001,1,Shirts,30
6240820,262651S,1,Shirts,30
6240820,499425,1,Shirts,30
6240820,691185,1,Shirts,30
6240820,4K79DC,1,Outerwear,8
6240820,138255,1,Outerwear,8
6240820,190586GS,1,Belts,25
6240957,211712,1,Shirts,30
6240957,262348,1,Shirts,30
6240957,298060,1,Shirts,30
6240957,298185,1,Shirts,30
6240957,394682,2,Shirts,30
6240957,4129,1,Shirts,30
6240957,491006,1,Shirts,30
6240957,491367S,1,Shirts,30
6240957,494409,2,Shirts,30
6240957,691616,1,Shirts,30
6240957,692207,1,Shirts,30
6240957,692279,1,Shirts,30
6240957,694315,3,Shirts,30
6240957,3K24DC,1,Outerwear,8
6240957,3K33DC,1,Outerwear,8
6240957,3K39DC,1,Outerwear,8
6240957,4K102DC,2,Outerwear,8
6240957,4K24DC,1,Outerwear,8
6240957,4K87DC,1,Outerwear,8
6240957,4K88DC,1,Outerwear,8
6240957,5K74DC,1,Outerwear,8
6240957,5K90DC,1,Outerwear,8
6240957,5K96DC,1,Outerwear,8
6240957,37X93MA,1,Outerwear,8
6241041,4120,1,Shirts,30
6241041,4129,1,Shirts,30
6241041,4166,1,Shirts,30
6241041,4199,1,Shirts,30
6241041,498260,10,Shirts,30
6241041,691060,1,Shirts,30
6241041,699644,3,Shirts,30
6241041,4K34DC,1,Outerwear,8
6241041,4K35DC,1,Outerwear,8
6241041,4K37DC,1,Outerwear,8
6241041,190661GS,1,Shirts,30
6241041,194298GS,1,Shirts,30
6241041,B2702GS,2,Shirts,30
6241041,421409MA,1,Shirts,30
6241041,690409MA,1,Shirts,30
6241075,497535,1,Shirts,30
6241075,690191,1,Shirts,30
6241075,692519,2,Shirts,30
6241075,692520,2,Shirts,30
6241384,280815,1,Jewelry,250
6241384,50-2300,3,Neckwear,60
6241384,50-2960,1,Neckwear,60
6241384,20056,1,Shirts,30
6241384,20096,1,Shirts,30
6241417,190595GS,1,Shirts,30
6241417,99427GS,1,Shirts,30
6241417,BB3061BGS,1,Belts,25
6241529,394281S,2,Shirts,30
6241529,4139,2,Shirts,30
6241529,4181,1,Shirts,30
6241529,494504S,1,Shirts,30
6241529,497465,1,Shirts,30
6241529,499811,1,Shirts,30
6241529,690243,1,Shirts,30
6241529,690766,5,Shirts,30
6241529,692021,1,Shirts,30
6241529,692206,5,Shirts,30
6241529,696126,1,Shirts,30
6241529,696459,1,Shirts,30
6241529,699392,1,Shirts,30
6241529,699885,1,Shirts,30
6241529,807687,1,Shirts,30
6241529,808390,1,Slacks,40
6241529,190591GS,1,Shirts,30
6241529,194258GS,1,Shirts,30
6241530,697415,4,Shirts,30
6241530,790268,4,Shirts,30
6241530,790268,2,Shirts,30
6241530,790268,1,Shirts,30
6241530,792647,1,Shirts,30
6241530,792647,2,Shirts,30
6241531,802574,1,Shirts,30
6241532,56159MA,1,Shirts,30
6241532,94954MA,1,Shirts,30
6241533,792383,1,Shirts,30
6241534,37X116MA,1,Outerwear,8
6241535,331188MA,1,Shirts,30
6241536,1101097MA,1,Shirts,30
6241537,693997,1,Shirts,30
6241538,190628GS,1,Shirts,30
6241539,790908,1,Shirts,30
6241539,802574,1,Shirts,30
6241539,190628GS,1,Shirts,30
6241539,32668MA,2,Outerwear,8
6241539,672440MA,2,Footwear,12
6241540,693556,1,Jewelry,250
6241541,694000,4,Shirts,30
6241542,690686,6,Shirts,30
6241543,691008,2,Shirts,30
6241544,692275,3,Shirts,30
6241545,699387,5,Shirts,30
6241546,499602,1,Shirts,30
6241547,691008,3,Shirts,30
6241548,791128,1,Shirts,30
6241549,690994,1,Shirts,30
6241550,791128,1,Shirts,30
6241551,694000,6,Shirts,30
6241552,809200,3,Shirts,30
6241553,499521,1,Shirts,30
6241553,790133,1,Shirts,30
6241554,392308S,5,Shirts,30
6241554,690994,3,Shirts,30
6241554,842261,1,Shirts,30
6241554,1001432MA,1,Shirts,30
6241555,791891,1,Shirts,30
6241556,842068,1,Shirts,30
6241557,7601023MA,1,Shirts,30
6241558,492341,1,Shirts,30
6241559,672854MA,1,Shirts,30
6241560,693503,1,Shirts,30
6241561,693503,1,Shirts,30
6241561,693503,1,Shirts,30
6241562,24050X1MA,1,Shirts,30
6241563,802574,4,Shirts,30
6241565,198421GS,1,Shirts,30
6241566,694000,1,Shirts,30
6241566,193972GS,1,Shirts,30
6241566,300844E701MA,1,Outerwear,8
6241566,7601023MA,1,Shirts,30
6241567,498314,1,Shirts,30
6241567,690250,1,Shirts,30
6241568,802574,5,Shirts,30
6241569,697415,20,Shirts,30
6241570,92109E701MA,1,Shirts,30
6241572,24301MA,1,Shirts,30
6241573,24301MA,1,Shirts,30
6241574,24301MA,1,Shirts,30
6241575,1102106MA,1,Shirts,30
6241576,24301MA,1,Shirts,30
6241577,24301MA,1,Shirts,30
6241578,442225MA,1,Neckwear,60
6241579,24301MA,1,Shirts,30
6241580,95188MA,1,Shirts,30
6241581,1101030MA,1,Shirts,30
6241582,691088,3,Shirts,30
6241583,196138GS,1,Shirts,30
6241584,97098GS,1,Shirts,30
6241585,790268,1,Shirts,30
6241586,399098,1,Shirts,30
6241587,495603,1,Slacks,40
6241588,56217E701MA,1,Neckwear,60
6241589,1101030MA,1,Shirts,30
6241590,1101097MA,1,Shirts,30
6241591,1101823E701MA,2,Neckwear,60
6241592,694236,1,Shirts,30
6241593,83083GS,1,Shirts,30
6241594,92850MA,1,Shirts,30
6241595,19462,1,Footwear,12
6241596,841281,1,Shirts,30
6241597,56065E701MA,1,Neckwear,60
6241598,90827ZMA,1,Shirts,30
6241599,394891,1,Shirts,30
6241600,997-600-003A,1,Belts,25
6241600,200RNDD009,1,Shirts,30
6241600,240RNDD009,1,Shirts,30
6241600,72LG072G,2,Shirts,30
6241601,791886,2,Shirts,30
6241601,802574,2,Shirts,30
6241602,691166,1,Shirts,30
6241602,691532,23,Shirts,30
6241602,805778,2,Shirts,30
6241603,1401081MA,1,Shirts,30
6241604,694000,4,Shirts,30
6241605,94954MA,1,Shirts,30
6241606,1101823E701MA,1,Neckwear,60
6241607,691156,1,Shirts,30
6241608,715670,1,Shirts,30
6241609,671970MA,1,Shirts,30
6241610,314108MA,1,Outerwear,8
6241611,91489MA,1,Shirts,30
6241612,790845,1,Shirts,30
6241612,442225MA,1,Neckwear,60
6241613,530071491,1,Shirts,30
6241614,530024317,1,Shirts,30
6241614,530049260,1,Shirts,30
6241615,456631MA,2,Neckwear,60
6241616,693503,1,Shirts,30
6241616,690549MA,1,Shirts,30
6241617,802574,2,Shirts,30
6241617,802574,1,Shirts,30
6241617,802574,2,Shirts,30
6241618,194003GS,1,Shirts,30
6241619,555657,2,Jewelry,250
6241620,492341,1,Shirts,30
6241620,492341,1,Shirts,30
6241620,495603,1,Slacks,40
6241620,690319,1,Shirts,30
6241620,695128,1,Shirts,30
6241620,791867,1,Shirts,30
6241620,W220U,12,Shirts,30
6241621,791858,1,Shirts,30
6241621,56631E701MA,4,Neckwear,60
6241621,671992MA,1,Shirts,30
6241621,AA021800AV,1,Shirts,30
6241622,1101100MA,1,Shirts,30
6241623,121602-0521,1,Slacks,40
6241624,195004GS,1,Shirts,30
6241625,495770,1,Shirts,30
6241626,B1879GS,1,Shirts,30
6241627,4107,1,Shirts,30
6241627,4108,1,Shirts,30
6241627,139573,1,Outerwear,8
6241627,491926MA,1,Neckwear,60
6241627,93061E701MA,1,Shirts,30
6241628,497725S,1,Shirts,30
6241628,692734,1,Shirts,30
6241628,695427,1,Shirts,30
6241628,696537,1,Shirts,30
6241628,4K26DC,1,Outerwear,8
6241628,4K42DC,1,Outerwear,8
6241628,4K64DC,1,Outerwear,8
