"","f.Apple","f.Google","f.Starbucks"
"1",3.081786,232.129913,17.799999
"2",3.001786,233.624313,17.684999
"3",3.063214,240.349106,17.559999
"4",3.07,242.934418,17.455
"5",3.0875,241.818604,17.5
"6",3.383929,241.310516,17.35
"7",3.426429,247.671661,17.25
"8",3.378214,250.057724,17.92
"9",3.417143,252.827347,18
"10",3.484286,250.755112,18.129999
"11",3.289286,246.33667,18.264999
"12",3.165357,243.078888,17.764999
"13",3.183571,245.330444,17.75
"14",3.061786,239.497299,17.65
"15",3.095714,241.320465,17.6
"16",3.111071,249.564575,17.344999
"17",3.111071,244.54837,17.084999
"18",3.082143,248.070175,17.035
"19",3.086786,246.077637,17.594999
"20",3.030714,247.317993,17.315001
"21",3.079643,252.055237,17.565001
"22",3.004286,240.4039,17.290001
"23",3.010714,237.858444,17.105
"24",3.016071,233.175995,17.025
"25",3.017143,236.025314,16.84
"26",3.051071,233.151093,16.834999
"27",3.067143,234.944366,16.745001
"28",3.015357,229.479858,16.450001
"29",3.041429,228.717712,16.389999
"30",3.0225,229.141129,16.375
"31",3.051429,232.129913,16.67
"32",3.044643,230.535889,16.700001
"33",3.023214,233.360306,16.5
"34",3.070714,234.042755,16.315001
"35",3.242857,238.451233,16.205
"36",3.184286,236.98671,16.5
"37",3.208571,235.532166,16.299999
"38",3.082143,226.650452,15.825
"39",2.964286,224.364029,15.375
"40",3.001071,220.508484,15.1
"41",3.098929,221.723923,15
"42",3.0675,217.694031,14.8
"43",3.135714,222.899521,14.94
"44",3.144643,230.481094,15
"45",3.163929,228.752579,15.445
"46",3.171429,228.144852,15.46
"47",3.145357,225.440002,15.2
"48",3.193214,224.214584,14.98
"49",3.164286,220.78743,14.67
"50",3.212857,223.093796,14.72
"51",3.197857,221.99292,15.155
"52",3.222857,220.797394,15.47
"53",3.2625,222.062653,15.59
"54",3.285357,221.818573,15.845
"55",3.3475,226.954315,16.195
"56",3.333929,229.863419,15.875
"57",3.356786,229.4151,16.075001
"58",3.418214,230.9095,15.975
"59",3.388571,230.072632,15.8
"60",3.363929,231.407623,15.79
"61",3.367143,230.187195,15.645
"62",3.362143,228.025299,15.77
"63",3.362143,231.158554,15.715
"64",3.390714,235.188461,15.895
"65",3.361429,234.77002,15.675
"66",3.400357,235.606888,15.76
"67",3.345357,232.672882,15.53
"68",3.353571,232.159805,15.585
"69",3.287143,231.133652,15.365
"70",3.246429,233.350342,15.395
"71",3.234643,233.355331,15.385
"72",3.285714,236.01535,15.51
"73",3.22,234.750092,15.52
"74",3.221071,236.364044,15.405
"75",3.246071,244.344131,15.615
"76",3.271071,239.153595,15.83
"77",3.355714,238.411377,15.775
"78",3.365357,239.103775,15.665
"79",3.627857,238.157333,15.92
"80",3.506429,239.138657,15.905
"81",3.574643,238.680374,15.725
"82",3.556786,235.213364,15.58
"83",3.558929,233.449966,15.54
"84",3.5975,232.239502,15.775
"85",3.6,234.18222,15.935
"86",3.61,235.188461,15.415
"87",3.695357,232.194672,15.16
"88",3.746786,232.204636,15.105
"89",3.808214,232.64798,14.955
"90",3.847857,230.052704,14.82
"91",3.915,231.870895,14.85
"92",3.913214,230.117462,14.455
"93",3.876071,230.13739,14.21
"94",3.826786,235.347855,14.19
"95",3.936786,235.133667,14.315
"96",3.939643,233.888336,14.555
"97",4.0175,235.616852,14.66
"98",4.072143,239.512253,14.585
"99",4.028929,236.687836,14.45
"100",4,238.954346,14.265
"101",4.0875,241.594452,14.35
"102",4.082143,241.345383,14.225
"103",4.288214,249.345398,14.435
"104",4.325,249.564575,14.4
"105",4.236786,248.025345,14.425
"106",4.336071,253.923233,14.345
"107",4.367857,257.410156,14.195
"108",4.463929,258.904572,14.01
"109",4.493571,257.1362,13.665
"110",4.5,256.050262,13.855
"111",4.2625,253.405182,13.525
"112",4.326786,252.598206,13.935
"113",4.185714,251.746399,13.855
"114",4.307857,253.146149,13.97
"115",4.402857,252.144897,13.985
"116",4.453214,256.045288,13.81
"117",4.423929,257.514771,13.765
"118",4.346429,254.535934,13.695
"119",4.423214,257.245789,13.02
"120",4.435357,263.502319,12.835
"121",4.427857,265.370331,12.925
"122",4.3075,261.519745,12.84
"123",4.37,261.459991,13.25
"124",4.356071,262.027863,13.29
"125",4.323214,261.763855,13.2
"126",4.357143,264.538452,13.06
"127",4.6,266.780029,13.24
"128",4.754643,269.61441,13.195
"129",4.727857,270.486145,13.26
"130",4.602857,270.879669,13.11
"131",4.716786,270.790009,13.04
"132",4.780357,271.910797,13.085
"133",4.8225,272.931976,12.995
"134",4.9425,274.122528,13.01
"135",4.939286,276.483673,13.035
"136",4.935357,275.910828,12.91
"137",5.010714,275.696625,13.37
"138",5.058929,254.994217,13.995
"139",5.118214,258.53595,13.98
"140",4.96,253.699081,14.16
"141",4.905357,257.524719,14.17
"142",5.211071,253.42012,13.865
"143",5.221071,253.315506,13.615
"144",5.154643,255.502319,13.42
"145",5.106071,259.143677,13.61
"146",4.772857,254.296829,13.255
"147",4.880357,255.900818,13.85
"148",4.830714,254.072678,13.46
"149",4.746429,250.560837,13.215
"150",4.819286,253.923233,13.395
"151",4.884286,258.700317,13.55
"152",4.6825,259.427612,13.75
"153",4.397143,254.137436,13.885
"154",4.582857,258.799957,14.02
"155",4.581786,256.897095,13.9
"156",4.383571,253.549637,13.505
"157",4.178929,245.091339,13.1
"158",4.3575,247.791214,13.485
"159",4.427143,250.29184,13.35
"160",4.364643,248.538422,13.4
"161",4.686429,254.027847,13.715
"162",4.753214,257.03656,13.805
"163",4.661786,255.3479,13.72
"164",4.763929,256.254486,13.755
"165",4.678214,254.809906,13.705
"166",4.638571,252.971802,13.465
"167",4.738214,255.223358,13.6
"168",4.981786,255.59198,13.8
"169",4.997857,256.548401,13.835
"170",5.1775,260.722748,13.765
"171",4.841429,263.69162,13.725
"172",4.714643,257.963104,13.67
"173",4.8925,259.666718,13.56
"174",4.925,257.529724,13.575
"175",4.856786,259.293091,13.61
"176",4.958214,261.051514,13.65
"177",4.8775,260.623108,13.645
"178",4.963929,262.281891,13.755
"179",4.966429,262.276917,13.68
"180",5.107857,268.628113,13.9
"181",5.005357,272.478668,13.81
"182",5.040714,277.131256,13.745
"183",5.240357,279.452545,13.715
"184",5.244286,280.94693,13.48
"185",5.516786,284.134979,13.58
"186",5.491786,284.797516,13.495
"187",5.48,282.441345,13.435
"188",5.5225,283.920807,13.135
"189",5.591071,290.600769,13.135
"190",5.635,292.030396,13.185
"191",5.642857,291.452576,13.245
"192",5.656071,292.458801,13.355
"193",5.838929,296.389069,13.34
"194",6.078571,306.406525,13.27
"195",5.983929,309.519836,13.255
"196",6.053214,315.636902,13.29
"197",5.821786,310.824951,13.13
"198",5.999286,318.042908,13.14
"199",5.912143,308.09021,13.04
"200",6.1675,314.047882,13.05
"201",6.125,316.518616,13.175
"202",6.222857,326.057861,13.33
"203",6.083929,318.142517,12.97
"204",6.734286,329.39035,13.035
"205",6.636071,335.098969,12.95
"206",6.6025,338.072815,13.1
"207",6.6175,335.7565,13.185
"208",6.623214,337.619507,13.09
"209",6.649286,337.48999,13.015
"210",6.701071,349.036713,13.07
"211",6.735714,350.082794,13.2
"212",6.7575,353.928375,13
"213",6.6175,352.174957,12.64
"214",6.680357,367.402893,12.5
"215",6.8075,369.181213,12.325
"216",6.666786,365.928406,11.945
"217",6.1125,336.628235,11.525
"218",5.902857,327.641907,11.31
"219",5.744643,321.29071,11.785
"220",6.327143,335.382904,12.025
"221",5.9425,318.092712,11.915
"222",5.903571,315.786346,10.935
"223",5.932143,313.619476,11.4
"224",5.916786,317.051605,11.395
"225",5.922857,320.683014,11.315
"226",6.142857,333.749023,11.4
"227",6.199643,338.829987,11.465
"228",6.257857,336.140076,11.12
"229",6.315,339.781403,11.24
"230",6.408214,344.085297,11.355
"231",6.690714,354.172485,11.58
"232",6.495,344.214813,11.615
"233",6.326786,337.888519,11.275
"234",6.531786,345.071594,11.3
"235",6.649643,347.597107,11.3
"236",6.805,356.160034,11.36
"237",6.913929,356.658173,11.31
"238",6.955357,358.625793,11.055
"239",6.908571,355.66687,11.09
"240",6.7925,346.854889,10.93
"241",6.798929,342.471344,10.615
"242",6.811429,342.715424,10.495
"243",6.661429,335.821259,10.075
"244",6.535,335.846161,10.16
"245",6.6225,341.63446,10.075
"246",6.79,347.636963,10.305
"247",6.965357,346.197357,10.56
"248",7.1075,348.189911,10.5
"249",7.105357,352.214813,10.28
"250",7.163929,351.148804,10.175
"251",7.125,347.980682,9.995
"252",7.116786,345.141327,10.07
"253",6.978929,341.350525,9.655
"254",6.8375,338.575928,9.235
"255",6.473214,325.749023,9.15
"256",6.433571,325.280762,10.09
"257",6.117857,313.843628,10
"258",6.342143,321.30069,9.72
"259",6.285714,320.149994,9.985
"260",6.34,324.354248,9.95
"261",6.347143,321.744019,9.63
"262",5.901071,313.310638,9.49
"263",5.768214,309.220978,9.635
"264",5.775357,303.044128,9.375
"265",5.287857,279.965607,8.895
"266",4.863929,279.308075,9.06
"267",4.999643,278.356659,10.05
"268",4.963929,294.800018,10.315
"269",4.577143,284.418915,9.725
"270",4.683929,279.188538,9.93
"271",4.691786,273.56958,10
"272",4.623214,268.498596,9.085
"273",4.865714,263.3479,9.485
"274",4.793214,253.584503,9.665
"275",4.658214,243.801178,9.45
"276",4.6725,254.615631,9.35
"277",4.284643,247.502304,9.005
"278",4.36,253.75386,9.23
"279",4.571786,259.288116,9.115
"280",4.667857,260.717773,9.295
"281",4.524286,260.274414,9.445
"282",4.621429,268.16983,9.425
"283",4.509643,263.168579,9.06
"284",4.499643,266.471191,9.26
"285",4.364286,250.81488,9.035
"286",4.501786,255.467438,9.13
"287",4.374286,250.09259,8.96
"288",4.235357,252.030334,9.125
"289",4.201429,229.738876,9.165
"290",4.2225,229.205887,9.475
"291",4.542857,234.371521,9.45
"292",4.6175,235.053955,9.18
"293",4.444286,234.874634,9.01
"294",4.356786,224.633026,8.9
"295",4.413571,221.793655,9
"296",4.450357,223.009109,9
"297",4.300357,213.639221,8.75
"298",4.356429,213.614319,8.56
"299",4.432143,211.835983,8.515
"300",4.537143,219.183441,8.87
"301",4.432143,215.527145,8.675
"302",4.638571,220.662903,8.645
"303",4.376786,213.195892,8.485
"304",4.613571,213.689041,8.71
"305",4.754286,219.7314,9.17
"306",4.682857,212.862137,8.82
"307",4.786071,218.396393,8.775
"308",4.998571,227.87587,8.96
"309",5.031071,225.449951,8.97
"310",5.176786,222.167267,8.88
"311",5.064286,222.894531,8.875
"312",5.116786,217.006607,8.53
"313",5.225,223.034012,8.915
"314",5.313571,234.072632,9.25
"315",5.252143,230.002899,9.25
"316",5.435357,227.651703,9.21
"317",5.576071,237.624329,9.315
"318",5.483929,235.63678,9.225
"319",5.475357,233.689072,9.055
"320",5.3975,231.611862,8.75
"321",5.454286,231.168518,8.75
"322",5.241786,227.726425,8.595
"323",5.335714,228.20961,8.505
"324",5.418571,221.370255,8.69
"325",5.506071,226.964279,8.85
"326",5.682857,266.605682,8.955
"327",5.793214,268.687897,9.11
"328",5.978571,267.781281,8.95
"329",5.858929,277.928253,8.865
"330",5.905,274.615662,7.95
"331",6.096429,273.484924,8.075
"332",6.0625,271.920776,7.96
"333",6.111071,274.386536,7.83
"334",6.2925,280.055298,8.15
"335",6.248571,288.075226,7.98
"336",6.435357,298.127533,8.5
"337",6.497143,298.311859,8.2
"338",6.595,294.396515,8.11
